Date,SPY,QQQ,VIG
2007-10-02,3557.454695694323,1454.505587681022,1298.9704649262421
2007-10-03,3554.1115456108237,1445.9889897463872,1294.796469367473
2007-10-04,3556.385507144936,1448.0156128969247,1294.941298177233
2007-10-05,3599.745743680338,1477.837829082564,1306.9144194192486
2007-10-08,3583.8693353782583,1488.4395853133756,1305.6661962661747
2007-10-09,3618.731577839353,1495.338275260583,1314.535434403224
2007-10-10,3608.291951471241,1497.1433396535576,1309.1400746800646
2007-10-11,3586.5626994890918,1471.5540961847437,1302.1982192908035
2007-10-12,3608.6177453828277,1496.7839008791489,1304.3330356471706
2007-10-15,3583.638312421477,1487.5991397292237,1293.8568902308034
2007-10-16,3562.2832527298015,1483.5479585837165,1292.862215353205
2007-10-17,3568.6913409168483,1500.7440220993885,1287.4505409577978
2007-10-18,3554.2108515067957,1506.5434581565205,1284.6699295906
2007-10-19,3455.943600088969,1466.7558824167354,1253.3267134410708
2007-10-22,3474.9664607107406,1483.922117929731,1258.2816435173736
2007-10-23,3504.7395079331473,1515.6567391772987,1264.6479744362878
2007-10-24,3499.882646072656,1504.8790543123032,1265.2299332344555
2007-10-25,3500.131477610703,1481.314035334799,1265.6522521741863
2007-10-26,3530.8235336952202,1501.4885489554,1269.7098176174477
2007-10-29,3542.435874565708,1507.567046148819,1274.9869061519857
2007-10-30,3519.037104373856,1511.1418118044385,1268.5497584094555
2007-10-31,3539.924231976096,1525.8333073132671,1272.4457403629203
2007-11-01,3474.505404900061,1504.8284393709619,1246.052027474041
2007-11-02,3472.6320507057244,1514.0105018453323,1242.8729863310582
2007-11-05,3449.8337740419665,1505.8506633035722,1241.96032602161
2007-11-06,3493.581907849526,1521.6661375589028,1255.8375224261981
2007-11-07,3393.296244136407,1482.5936911027966,1222.6986777994462
2007-11-08,3366.079705213633,1433.311390233168,1225.0256217281712
2007-11-09,3318.436227417056,1384.7768666819175,1209.7309731618298
2007-11-12,3286.530772017548,1350.021698215045,1208.7829120522365
2007-11-13,3381.668098793307,1403.6171929958073,1236.4776378341048
2007-11-14,3374.0834216771764,1386.3665037783794,1231.4050024701573
2007-11-15,3334.799990099622,1382.784825326191,1225.1628543676488
2007-11-16,3341.5616881652386,1395.984424739785,1228.6344164208567
2007-11-19,3295.643590568885,1380.1363341337274,1209.1985734171758
2007-11-20,3315.2025307018775,1385.4330118921353,1218.6937371488311
2007-11-21,3251.375265346025,1370.745258517447,1201.6224701089086
