ticker,revenue_year,revenue_month,revenue,avail_date
2886.TW,2014,1,4784357000,2014-02-10
2886.TW,2014,2,5048107000,2014-03-10
2886.TW,2014,3,5309479000,2014-04-10
2886.TW,2014,4,4700946000,2014-05-10
2886.TW,2014,5,5221888000,2014-06-10
2886.TW,2014,6,5978175000,2014-07-10
2886.TW,2014,7,5444746000,2014-08-10
2886.TW,2014,8,4837352000,2014-09-10
2886.TW,2014,9,4666735000,2014-10-10
2886.TW,2014,10,4671383000,2014-11-10
2886.TW,2014,11,4630537000,2014-12-10
2886.TW,2014,12,5187474000,2015-01-10
2886.TW,2015,1,5389652000,2015-02-10
2886.TW,2015,2,4712367000,2015-03-10
2886.TW,2015,3,5035716000,2015-04-10
2886.TW,2015,4,4906370000,2015-05-10
2886.TW,2015,5,4686094000,2015-06-10
2886.TW,2015,6,4675511000,2015-07-10
2886.TW,2015,7,4828644000,2015-08-10
2886.TW,2015,8,4214972000,2015-09-10
2886.TW,2015,9,4627069000,2015-10-10
2886.TW,2015,10,5612847000,2015-11-10
2886.TW,2015,11,6334128000,2015-12-10
2886.TW,2015,12,5192820000,2016-01-10
2886.TW,2016,1,5611446000,2016-02-10
2886.TW,2016,2,4528211000,2016-03-10
2886.TW,2016,3,5853486000,2016-04-10
2886.TW,2016,4,5078128000,2016-05-10
2886.TW,2016,5,5063454000,2016-06-10
2886.TW,2016,6,5220736000,2016-07-10
2886.TW,2016,7,5649841000,2016-08-10
2886.TW,2016,8,5231928000,2016-09-10
2886.TW,2016,9,4791405000,2016-10-10
2886.TW,2016,10,4605083000,2016-11-10
2886.TW,2016,11,4212110000,2016-12-10
2886.TW,2016,12,5013040000,2017-01-10
2886.TW,2017,1,4926780000,2017-02-10
2886.TW,2017,2,4702860000,2017-03-10
2886.TW,2017,3,5124939000,2017-04-10
2886.TW,2017,4,4530879000,2017-05-10
2886.TW,2017,5,4671158000,2017-06-10
2886.TW,2017,6,5468090000,2017-07-10
2886.TW,2017,7,5681943000,2017-08-10
2886.TW,2017,8,5159837000,2017-09-10
2886.TW,2017,9,4959835000,2017-10-10
2886.TW,2017,10,5110811000,2017-11-10
2886.TW,2017,11,4913944000,2017-12-10
2886.TW,2017,12,4409313000,2018-01-10
2886.TW,2018,1,5579063000,2018-02-10
2886.TW,2018,2,4201266000,2018-03-10
2886.TW,2018,3,5417901000,2018-04-10
2886.TW,2018,4,4566358000,2018-05-10
2886.TW,2018,5,5544338000,2018-06-10
2886.TW,2018,6,5307248000,2018-07-10
2886.TW,2018,7,6949192000,2018-08-10
2886.TW,2018,8,5262567000,2018-09-10
2886.TW,2018,9,4961242000,2018-10-10
2886.TW,2018,10,3741952000,2018-11-10
2886.TW,2018,11,4808906000,2018-12-10
2886.TW,2018,12,5293676000,2019-01-10
2886.TW,2019,1,5985804000,2019-02-10
2886.TW,2019,2,4974440000,2019-03-10
2886.TW,2019,3,5726868000,2019-04-10
2886.TW,2019,4,5156077000,2019-05-10
2886.TW,2019,5,5070841000,2019-06-10
2886.TW,2019,6,6119299000,2019-07-10
2886.TW,2019,7,6159532000,2019-08-10
2886.TW,2019,8,5170982000,2019-09-10
2886.TW,2019,9,5201383000,2019-10-10
2886.TW,2019,10,5692095000,2019-11-10
2886.TW,2019,11,4729417000,2019-12-10
2886.TW,2019,12,5282368000,2020-01-10
2886.TW,2020,1,4517222000,2020-02-10
2886.TW,2020,2,4657431000,2020-03-10
2886.TW,2020,3,1621611000,2020-04-10
2886.TW,2020,4,7021558000,2020-05-10
2886.TW,2020,5,6237578000,2020-06-10
2886.TW,2020,6,6191722000,2020-07-10
2886.TW,2020,7,6143597000,2020-08-10
2886.TW,2020,8,5214167000,2020-09-10
2886.TW,2020,9,4240770000,2020-10-10
2886.TW,2020,10,4175281000,2020-11-10
2886.TW,2020,11,5526464000,2020-12-10
2886.TW,2020,12,5260136000,2021-01-10
2886.TW,2021,1,3937738000,2021-02-10
2886.TW,2021,2,4815667000,2021-03-10
2886.TW,2021,3,5836166000,2021-04-10
2886.TW,2021,4,5860327000,2021-05-10
2886.TW,2021,5,3261812000,2021-06-10
2886.TW,2021,6,5533008000,2021-07-10
2886.TW,2021,7,5356742000,2021-08-10
2886.TW,2021,8,5948412000,2021-09-10
2886.TW,2021,9,4615217000,2021-10-10
