GrossProfit,IncomeAfterTaxes,Revenue,ticker,qend,avail_date
3780728000.0,,13178076000.0,1216.TW,2012-09-30,2012-11-14
2997221000.0,,10741380000.0,1216.TW,2012-12-31,2013-03-31
32806645000.0,5739800000.0,104634790000.0,1216.TW,2013-03-31,2013-05-15
33539083000.0,5118905000.0,106544867000.0,1216.TW,2013-06-30,2013-08-14
35275201000.0,6519034000.0,114348014000.0,1216.TW,2013-09-30,2013-11-14
29236543000.0,3362223000.0,97528540000.0,1216.TW,2013-12-31,2014-03-31
34149841000.0,6536262000.0,108631630000.0,1216.TW,2014-03-31,2014-05-15
34082310000.0,4868196000.0,105823040000.0,1216.TW,2014-06-30,2014-08-14
35637287000.0,3541025000.0,112818727000.0,1216.TW,2014-09-30,2014-11-14
28129560000.0,2767698000.0,97913785000.0,1216.TW,2014-12-31,2015-03-31
34537382000.0,6616277000.0,104940238000.0,1216.TW,2015-03-31,2015-05-15
35927951000.0,6919546000.0,105025069000.0,1216.TW,2015-06-30,2015-08-14
37328044000.0,5821839000.0,110670088000.0,1216.TW,2015-09-30,2015-11-14
30128919000.0,2235503000.0,95515928000.0,1216.TW,2015-12-31,2016-03-31
36522564000.0,6398071000.0,106667516000.0,1216.TW,2016-03-31,2016-05-15
36304557000.0,7178712000.0,104854989000.0,1216.TW,2016-06-30,2016-08-14
35471045000.0,6250390000.0,107425651000.0,1216.TW,2016-09-30,2016-11-14
29351931000.0,3848263000.0,94416159000.0,1216.TW,2016-12-31,2017-03-31
32068573000.0,6796384000.0,96114609000.0,1216.TW,2017-03-31,2017-05-15
33279696000.0,7143660000.0,100103678000.0,1216.TW,2017-06-30,2017-08-14
37427116000.0,8507839000.0,108818851000.0,1216.TW,2017-09-30,2017-11-14
29965286000.0,37517204000.0,94823815000.0,1216.TW,2017-12-31,2018-03-31
35429055000.0,6531262000.0,104288097000.0,1216.TW,2018-03-31,2018-05-15
37762265000.0,8649353000.0,110357679000.0,1216.TW,2018-06-30,2018-08-14
39428428000.0,7449414000.0,115612782000.0,1216.TW,2018-09-30,2018-11-14
32665119000.0,4315144000.0,101186962000.0,1216.TW,2018-12-31,2019-03-31
37102312000.0,7824113000.0,107791643000.0,1216.TW,2019-03-31,2019-05-15
40487786000.0,8573714000.0,114480012000.0,1216.TW,2019-06-30,2019-08-14
42687702000.0,7646656000.0,121082100000.0,1216.TW,2019-09-30,2019-11-14
33685305000.0,4439071000.0,104623948000.0,1216.TW,2019-12-31,2020-03-31
37121234000.0,6633906000.0,108290637000.0,1216.TW,2020-03-31,2020-05-15
38794550000.0,8918421000.0,110446905000.0,1216.TW,2020-06-30,2020-08-14
43117596000.0,10179361000.0,122074422000.0,1216.TW,2020-09-30,2020-11-14
34996876000.0,5068977000.0,106508015000.0,1216.TW,2020-12-31,2021-03-31
39139935000.0,7798508000.0,115462004000.0,1216.TW,2021-03-31,2021-05-15
39755805000.0,7542483000.0,117335856000.0,1216.TW,2021-06-30,2021-08-14
40866345000.0,8195299000.0,124920576000.0,1216.TW,2021-09-30,2021-11-14
36343789000.0,5260105000.0,115783233000.0,1216.TW,2021-12-31,2022-03-31
40531790000.0,6442727000.0,124204308000.0,1216.TW,2022-03-31,2022-05-15
41824454000.0,7461948000.0,130531027000.0,1216.TW,2022-06-30,2022-08-14
45322126000.0,8464651000.0,141761910000.0,1216.TW,2022-09-30,2022-11-14
39971594000.0,4156591000.0,128334419000.0,1216.TW,2022-12-31,2023-03-31
42684248000.0,7707539000.0,131403552000.0,1216.TW,2023-03-31,2023-05-15
45624225000.0,10560295000.0,137398498000.0,1216.TW,2023-06-30,2023-08-14
53383358000.0,8442042000.0,165046296000.0,1216.TW,2023-09-30,2023-11-14
46121867000.0,3576273000.0,147254589000.0,1216.TW,2023-12-31,2024-03-31
51717500000.0,8323003000.0,158756079000.0,1216.TW,2024-03-31,2024-05-15
54482751000.0,9259457000.0,162120139000.0,1216.TW,2024-06-30,2024-08-14
59035049000.0,9384657000.0,178921762000.0,1216.TW,2024-09-30,2024-11-14
49894166000.0,5365158000.0,157838554000.0,1216.TW,2024-12-31,2025-03-31
56136003000.0,8242394000.0,169265026000.0,1216.TW,2025-03-31,2025-05-15
57320563000.0,8795573000.0,169572497000.0,1216.TW,2025-06-30,2025-08-14
59082080000.0,9216211000.0,176326132000.0,1216.TW,2025-09-30,2025-11-14
50041589000.0,4963353000.0,157699923000.0,1216.TW,2025-12-31,2026-03-31
59125238000.0,9763840000.0,175017371000.0,1216.TW,2026-03-31,2026-05-15
5796514000.0,,,2912.TW,2005-03-31,2005-05-15
7280814000.0,,,2912.TW,2005-06-30,2005-08-14
7939473000.0,,,2912.TW,2005-09-30,2005-11-14
7142283000.0,,,2912.TW,2005-12-31,2006-03-31
6623906000.0,,22637085000.0,2912.TW,2006-03-31,2006-05-15
7490828000.0,,24815699000.0,2912.TW,2006-06-30,2006-08-14
8217815000.0,,27599861000.0,2912.TW,2006-09-30,2006-11-14
7910132000.0,,24926973000.0,2912.TW,2006-12-31,2007-03-31
7141947000.0,,24630972000.0,2912.TW,2007-03-31,2007-05-15
8084967000.0,,26708535000.0,2912.TW,2007-06-30,2007-08-14
8388244000.0,,26142114000.0,2912.TW,2007-09-30,2007-11-14
8129139000.0,,24882220000.0,2912.TW,2007-12-31,2008-03-31
7487291000.0,,24477348000.0,2912.TW,2008-03-31,2008-05-15
8168988000.0,,25015111000.0,2912.TW,2008-06-30,2008-08-14
8760549000.0,,27201238000.0,2912.TW,2008-09-30,2008-11-14
8318086000.0,,25497561000.0,2912.TW,2008-12-31,2009-03-31
7543243000.0,,24140972000.0,2912.TW,2009-03-31,2009-05-15
8335628000.0,,25780323000.0,2912.TW,2009-06-30,2009-08-14
8671403000.0,,25931774000.0,2912.TW,2009-09-30,2009-11-14
8415493000.0,,25903317000.0,2912.TW,2009-12-31,2010-03-31
8236166000.0,,26890584000.0,2912.TW,2010-03-31,2010-05-15
8903195000.0,,28076048000.0,2912.TW,2010-06-30,2010-08-14
9598144000.0,,30519952000.0,2912.TW,2010-09-30,2010-11-14
9185106000.0,,29177309000.0,2912.TW,2010-12-31,2011-03-31
8963896000.0,,28284073000.0,2912.TW,2011-03-31,2011-05-15
9530838000.0,,30172181000.0,2912.TW,2011-06-30,2011-08-14
9982845000.0,,32276088000.0,2912.TW,2011-09-30,2011-11-14
9797730000.0,,31980383000.0,2912.TW,2011-12-31,2012-03-31
9286168000.0,,32249091000.0,2912.TW,2012-03-31,2012-05-15
9906903000.0,,33438156000.0,2912.TW,2012-06-30,2012-08-14
10327156000.0,,35786385000.0,2912.TW,2012-09-30,2012-11-14
9887981000.0,,33095893000.0,2912.TW,2012-12-31,2013-03-31
14907147000.0,2268424000.0,48374210000.0,2912.TW,2013-03-31,2013-05-15
15598334000.0,2600649000.0,49548404000.0,2912.TW,2013-06-30,2013-08-14
16929836000.0,2559367000.0,52372791000.0,2912.TW,2013-09-30,2013-11-14
15986742000.0,1813853000.0,50315434000.0,2912.TW,2013-12-31,2014-03-31
15732725000.0,3208147000.0,49787544000.0,2912.TW,2014-03-31,2014-05-15
16791189000.0,2490977000.0,51652948000.0,2912.TW,2014-06-30,2014-08-14
17718562000.0,2797242000.0,54609078000.0,2912.TW,2014-09-30,2014-11-14
16695692000.0,1746389000.0,51939451000.0,2912.TW,2014-12-31,2015-03-31
15243958000.0,2367042000.0,48248674000.0,2912.TW,2015-03-31,2015-05-15
16643364000.0,2470828000.0,51391231000.0,2912.TW,2015-06-30,2015-08-14
17083714000.0,2750950000.0,53425771000.0,2912.TW,2015-09-30,2015-11-14
17309831000.0,1853634000.0,52415641000.0,2912.TW,2015-12-31,2016-03-31
16675396000.0,2743265000.0,51519542000.0,2912.TW,2016-03-31,2016-05-15
17961795000.0,2940787000.0,54231446000.0,2912.TW,2016-06-30,2016-08-14
18312332000.0,3137447000.0,55704878000.0,2912.TW,2016-09-30,2016-11-14
17657119000.0,2317070000.0,53903223000.0,2912.TW,2016-12-31,2017-03-31
17356457000.0,3047658000.0,53001927000.0,2912.TW,2017-03-31,2017-05-15
18248667000.0,3115270000.0,55172911000.0,2912.TW,2017-06-30,2017-08-14
19272820000.0,3393375000.0,57283454000.0,2912.TW,2017-09-30,2017-11-14
18556066000.0,22761769000.0,55673790000.0,2912.TW,2017-12-31,2018-03-31
20501239000.0,2861195000.0,58947745000.0,2912.TW,2018-03-31,2018-05-15
20953844000.0,3016141000.0,61229506000.0,2912.TW,2018-06-30,2018-08-14
21683962000.0,3114530000.0,63003871000.0,2912.TW,2018-09-30,2018-11-14
20937647000.0,2752412000.0,61706731000.0,2912.TW,2018-12-31,2019-03-31
21005927000.0,3259642000.0,61085396000.0,2912.TW,2019-03-31,2019-05-15
21927741000.0,2970528000.0,63947923000.0,2912.TW,2019-06-30,2019-08-14
22797318000.0,3131552000.0,66088666000.0,2912.TW,2019-09-30,2019-11-14
22117434000.0,2750387000.0,64936903000.0,2912.TW,2019-12-31,2020-03-31
