,A_持有0050,B_動能Top5,C_動能+濾網,D_0050均線,C_週一開盤成交,C_最差成交
2021-06-21,139608.40392285178,327530.00442064536,327530.00442064536,133262.8382763028,311071.54055873986,225154.90126078093
2021-06-22,139763.86659985373,326933.1065019442,326933.1065019442,133411.23742715118,310477.3339013302,224803.6800235983
2021-06-23,142043.9008405764,312823.4759286715,312823.4759286715,135587.677147305,297131.39619152184,215545.2973522421
2021-06-24,141681.1424482424,324811.0219301058,324811.0219301058,135241.40086785553,308495.1284245693,223471.6589893576
2021-06-25,141940.22565441916,328081.8254527695,328081.8254527695,135488.7124961972,311889.71788875695,225770.8615497824
2021-06-28,142199.3452985842,344568.8439387925,344568.8439387925,135736.05890694854,327163.80538236455,234632.53776316706
2021-06-29,142613.8911817629,345820.9437846787,345820.9437846787,136131.7696861386,328307.14924299077,235428.46128611628
2021-06-30,144012.98239880393,364850.9903468735,364850.9903468735,137467.29247895477,346135.471039408,248075.43283228937
2021-07-01,143339.33509045432,373855.27757068945,373855.27757068945,136824.2526802182,354372.525601023,253839.21184306208
2021-07-02,143339.33509045432,369374.021845652,369374.021845652,136824.2526802182,350320.7719618018,250980.8533988482
2021-07-05,144686.64792614768,378721.01818354265,378721.01818354265,138110.34966889617,359646.12247599626,256534.7473494103
2021-07-06,144842.07416516135,389660.01662714616,389660.01662714616,138258.7140373349,369915.747315779,263928.6360518029
2021-07-07,144064.815437134,375994.1530025734,375994.1530025734,137516.77045670745,357134.5254644301,254776.61684861683
2021-07-08,143909.3709791262,383068.55387385027,383068.55387385027,137368.3886970639,363806.222718611,259555.12565675282
2021-07-09,142769.3447492678,364847.7593188457,364847.7593188457,136280.16014138458,346751.582837477,247300.40892472767
2021-07-12,144064.815437134,367365.15960647387,367365.15960647387,137516.77045670745,349286.08336156374,248693.3789501311
2021-07-13,145256.62004834006,352433.57818176073,352433.57818176073,138654.42481652496,335371.0523175574,238674.30769158617
2021-07-14,145619.36933117697,338936.10938216967,338936.10938216967,139000.692400372,322679.02210896974,229553.90408517138
2021-07-15,146966.63661938498,356460.5232215099,356460.5232215099,140286.7459110379,339210.99880498415,241375.9683513762
2021-07-16,144997.5095136721,367984.53598776774,367984.53598776774,138407.08710137603,350447.8178166724,249350.44470406786
2021-07-19,143339.33509045432,368931.6876830192,368931.6876830192,136824.2526802182,349646.07487459434,247796.92308292873
2021-07-20,142199.3452985842,352377.57408133463,352377.57408133463,135736.05890694854,334213.44259233726,236884.19024906642
2021-07-21,142043.463584717,340196.3496932121,340196.3496932121,135587.25975838897,322879.0944630648,228857.41190968044
2021-07-22,143030.54135876487,334523.3515929313,334523.3515929313,136529.489149487,317676.0579449679,225167.3699594546
2021-07-23,143030.54135876487,341050.7169946937,341050.7169946937,136529.489149487,323764.4877621676,229474.32432041652
2021-07-26,141783.73360424826,327782.10877936165,327782.10877936165,135339.3307422757,311390.3542477371,220326.8093105608
2021-07-27,141731.7730329592,312353.6651987342,312353.6651987342,135289.73102608917,296973.0566708328,210116.77832377492
2021-07-28,139497.88750439475,308948.85290472786,308948.85290472786,133157.34322777984,293717.8805691482,207817.7451473528
2021-07-29,141835.68506604026,321771.10274832527,321771.10274832527,135388.9217628598,305686.3936154129,216286.45737040578
2021-07-30,141368.1310194094,307924.8816218564,307924.8816218564,134942.61127320526,293335.2887951614,207548.49701655447
2021-08-02,143290.29866772483,314442.67048599216,314442.67048599216,136777.44425240753,297187.90664077346,207372.56407997373
2021-08-03,143861.76474743674,321697.6926493833,321697.6926493833,137322.9454788327,304114.9479005391,212206.76996681455
