Date,SPY,EFA,AGG
2012-08-31,3312.7739464356273,1020.4448725971815,2302.1651779895037
2012-09-04,3300.8742624846054,1012.5884597677505,2295.577788838127
2012-09-05,3295.8536917038145,1009.1503145320457,2294.039162619156
2012-09-06,3363.8775570855505,1034.528758035216,2289.4875422095356
2012-09-07,3367.9223442077637,1047.2885427474976,2283.7560081481934
2012-09-10,3346.537510727998,1038.3315524252102,2282.628727442032
2012-09-11,3347.9625453372137,1047.649115246284,2274.6102994248213
2012-09-12,3352.3353154199867,1052.377323743167,2265.7439439946756
2012-09-13,3401.1130040756107,1067.6984834216855,2269.4875351925875
2012-09-14,3418.503529163354,1078.9856401261204,2261.681712497011
2012-09-17,3375.818948204207,1063.5214119140219,2244.674087789026
2012-09-18,3367.307305529248,1057.2570584851492,2242.251560151417
2012-09-19,3373.7474435222102,1063.1587982908532,2249.7415705167805
2012-09-20,3375.129512399726,1056.7359180428175,2249.1004849485325
2012-09-21,3376.018322763892,1058.0387172885967,2254.258585283693
2012-09-24,3364.036560915585,1052.197338491911,2252.0612248734105
2012-09-25,3335.053674175433,1046.9811888398253,2260.299348835717
2012-09-26,3311.786643757485,1035.09265367833,2259.4303798209003
2012-09-27,3350.971677504087,1049.9932508756974,2263.4149885992083
2012-09-28,3328.638461142604,1027.1129957485537,2262.012296402245
2012-10-01,3334.0104663796374,1034.3863980319293,2258.8317666194635
2012-10-02,3337.475961177901,1038.4520080146613,2260.644961408805
2012-10-03,3348.813686482754,1033.4866865045478,2258.2958091677574
2012-10-04,3376.272765173984,1047.1341840832756,2257.3879859588924
2012-10-05,3373.048885988974,1047.4161312643264,2250.4481654598203
2012-10-08,3355.765729400373,1039.4464339326441,2250.0181958752364
2012-10-09,3329.408076124848,1026.4856032957541,2252.2247476411576
2012-10-10,3308.1662702067842,1023.5827791310003,2255.847218429233
2012-10-11,3312.2749160408566,1030.8663046393194,2260.207735336153
2012-10-12,3296.9085652182694,1028.2985206932426,2258.9315324101335
2012-10-15,3317.548444835411,1036.226205053099,2255.504682345054
2012-10-16,3353.4615155873325,1054.12476191108,2253.4332743777486
2012-10-17,3362.904292166626,1062.1540298395194,2242.5599266722857
2012-10-18,3353.0146589680808,1057.7425533639907,2240.9897709882353
2012-10-19,3301.660785728891,1044.9112180974043,2246.8735816556728
2012-10-22,3303.2512735720957,1052.60560085834,2244.6317182818893
2012-10-23,3259.6447080915386,1030.7218776264344,2251.190991279698
2012-10-24,3258.210346068023,1033.771111463706,2254.9710579212406
